Function, Spoken Form
abs,absolute value
abs,absolute
avg_dist,average distance
climograph
compressed
create_example_plots,create example plots
expanded
get_data,get data
get_move_time,get move time
iloc,index location
int,integer
join
len,length
list
math.ceil,ceiling
math.cos,cosign
math.radians,radiance
math.sin,sign
max
max,maximum
min,minimum
min,men
move_next,move next
print
range
round
set_ylim,set I limit
sorted,sordid
str,string
tick_params,take parameters
time_test,time test
type
xticks,ex tic
xticks,ex tick
yticks,why ticks
zigzag
zip,and zip
zip
