Variable, Spoken Form
A,capital a
A_color,a color
B_color,be color
B_offset,be offset
B_prime,be prime
B_prime_C_prime,be prime see prime
C,center
C_offset,see offset
C_prime,see prime
c,see
d,dee
FX,fulcrum ex
FY,fulcrum why
add_vectors,add vectors
anchor
angle
area
avgD,average distance
ax,axis
ax2,right axis
axes,axises
axis_labels,axis labels
axis_ticks,axis ticks
b,be
b,bearing
b1,start bearing
b2,finish bearing
bc,beta center
bdx,beta ex difference
bdy,beta wide difference
bdy,beta I difference
border
brute_force,brute force
c,constant
c1,color alpha
c2,color beta
callback
card_dir,cardinal direction
card_dirs,cardinal directions
case_number,case number
cases
city
col,column
comp,component
comp_precip,compressed precipitation
comp_precips,compressed precipitations
completed
continent
cos_theta,cosine theatre
country
cur,current
curChangeID,current change id
curLat,current latitude
curLon,current longitude
curX,current ex
curY,current why
cur_pos,current position
cur_tags,current tags
curve_def,curve definition
cutoff_precips,cutoff precipitations
cx,Centrex
d,distance
da,distance a
dark_color,dark color
data
db,distance be
decimal_places,decimal places
denominator
dest,destination
df,degrees of freedom
df,data frame
digits
display_interval_y,display interval I
dist_per_ms,distance per millisecond
dkeys,distance keys
double
doubling_angle,doubling
doubling_theta,doubling theta
download_dir,download folder
dpi,pi
dpi,DPI
dpi,dots per
dr,distance representation
dx,ex difference
dx_inflection,ex difference inflection
dy,wide difference
dy,why difference
el,element
elapsed
elapsed_ms,elapsed milliseconds
elements
elev_ft,elevation
endloc,end location
error
f_distance,distance function
feat,feature
feat_a,alpha feature
feat_a,feature alpha
feat_a_func,feature a function
feat_b,beta feature
feat_b,feature beta
feat_b_func,feature be function
fig,figure
filename
filepath,file path
files_to_move,files to move
fill
fill_drought,fill drought
fill_freezing,fill freezing
fill_ht,fil height
fill_stipple,feel stipple
fill_stipple,fill stipple
finish
finish_dist,finish distance
finish_offset,finish offset
first_line,first line
fmt,format
folder
from_pos,from position
fulcrum,folk rummer
fulcrum
ha,horizontal alignment
highD,high distance
highT,high time
hz_dist,horizontal distanceI
i,I
i,eye
id, eye dee
image_path,image path
intervalD,interval distance
interval_finish,interval finish
interval_start,interval start
interval_x,interval ex
interval_x,interval
interval_y,interval why
intervals
k,ka
k,kay
key
key_seq,key sequence
key_strings,key strings
ks,kay segment
label_intervals,label intervals
label_variables,label variables
label_x,label
label_y,label I
labels_above,labels above
last_pos,last position
lat,latitude
limit
line_gen,line generalization
loc,location
lon,longitude
lowD,low distance
lowT,low time
m,beta count
max_ms,maximum milliseconds
max_st_dev,max standard deviations
max_theta,max theta
max_y,max why
mid_x,mid ex
min_ms,minimum milliseconds
min_theta,minimum theta
missing_col_dir,missing column folder
missing_col_dir,missing columns folder
mod_file_name,modified file
month
month_labels,month labels
months
move_dist,move the distance
move_dist,move distance
move_time,move time
move_times,move times
msg,message
mu
n,an
n,count
n_missing,numb missing
name
nearPt,near
near_comps,near components
nearloc,near location
new_file,new files
new_poly,new poly
new_poly,new polyline
new_year_temp,new year temp
nl1,near location alpha
nl2,near location beta
norm_dist,normal distribution
np,numpy
num_intervals,numb intervals
numpy,numpy module
orig,origin
orig_feat,original feature
orig_file,original file
orig_line,original line
os_name,operating system name
out,output
output_file,output file
output_folder,output folder
output_path,output path
overwriteOutput,overwrite output
p,pa
p,pe
p,precipitation
pB,be proportion
pC,sea proportion
pD,distance proportion
pT,time proportion
paths
perp_1,perpendicular alpha
perp_2,perpendicular beta
pi,pie
plot_finish,plot finish
plot_height,plot height
plot_start,plot start
plot_temps,plot temperatures
plot_title,plot title
plot_width,plot width
plot_y,plot I
plot_y,plot why
plt,plot
poly,polyline
poly
pos,position
precip_labels,precipitation labels
precip_ticks,precipitation ticks
precips,precipitations
prob_den,probability density
pts,vertices
q,perpendicular distance
q,queue
r,result
r0,radius start
r1,radius
r1,alpha radius
r1,red alpha
r2,beta radius
r2,red beta
rad,radiance
rc,radius center
rel_file_path,relative file path
rem_dist,remaining distance
rem_ms,remaining milliseconds
req_cols,required columns
row,role
scale
scale_vector,scale vector
scipy,sipe module
sec,section
secA,section a
secB,section be
seg,segment
self
shape
sigma
simp_line,simplified line
sin_theta,sign theta
singles
smooth_line,smooth line
smooth_orig,smooth originals
smooth_polyline,smooth polyline
smooth_simp,smooth simplified
smooth_vertex,smooth vertex
sqrt,square root
start
start_dist,start distance
start_offset,start offset
start_pos,start position
startloc,start location
state
station
stipple_hts,stipple heights
t,temperature
target_ms,target milliseconds
temp_labels,temperature labels
temp_months,temperature months
temp_ticks,temperature ticks
temps,temperatures
term
test_str,test
theta,seta
tick_params,tick parameters
ticks_above,ticks above
ticks_below,takes below
ticks_below,ticks below
times
to_pos,to position
totD,total distance
totT,total time
tot_area,total area
tot_len,total length
transparency
trg,target
trg_pos,target position
trg_x,target ex
trg_y,target why
triangle_area,triangle area
utils_hausdorff,utils Hausdorff
v,vertex
v1,first vector
v1,start vertex
v2,second vector
v2,Finnish vertex
v2,finish vertex
v3,third vertex
vNearLoc,vertex near location
